Key,CurrentName,NewName
38,38,38
8cm,8cm,8cm
9x2,9x2,9x2
achumuchi,achumuchi,achumuchi
actuale,actuale,actuale
almualim,almualim,almualim
alp,alp,alp
amakaze mellow,amakaze mellow,天风梅洛 (天風メロウ)
andojing,andojing,安藤井 (andojing)
announ,announ,あんのうん (announ)
artist:23,23,弐参 (23)
artist:ani hakase,ani hakase,兄博士
artist:asakura shimoichi,asakura shimoichi,浅仓下市 (浅倉下市)
artist:asanagi,asanagi,朝凪 (Asanagi)
artist:ashika,ashika,海鹿 (ashika)
artist:asla,asla,asla
artist:beni shake,beni shake,红鲑 (紅鮭)
artist:bennosuki,bennosuki,弁之助 (bennosuki)
artist:big.g,big.g,Big.G
artist:blackgg,blackgg,blackgg
artist:chibou,chibou,chibou
artist:chihel,chihel,chihel
artist:croriin,croriin,croriin
artist:easonx,easonx,Easonx
artist:emasson,emasson,emasson
artist:fujiyama,fujiyama,富士山 (Fujiyama)
artist:fureshika,fureshika,フレシカ (fureshika)
artist:gaku,gaku,岳 (GAKU)
artist:hahakigi,hahakigi,帚木 (hahakigi)
artist:haiba nemumi,haiba nemumi,灰羽眠美 (灰羽ねむみ)
artist:hijiki senpai,hijiki senpai,羊栖菜前辈 (ひじき先輩)
artist:horori,horori,ほろり (horori)
artist:hyouta,hyouta,兵太 (ひょうた)
artist:inui nuinu,inui nuinu,乾奴奴 (乾ぬいぬ)
artist:issi-13,issi-13,issi-13
artist:jenigata,jenigata,钱形 (銭形)
artist:juna juna juice,juna juna juice,ジュジュジュ (Juna Juna Juice)
artist:k-you,k-you,K-YOU (けーゆう)
artist:kameyama shiruko,kameyama shiruko,龟山红豆汤 (亀山しるこ)
artist:karaage-chan,karaage-chan,炸鸡酱 (唐揚げちゃん)
artist:kase daiki,kase daiki,加濑大辉 (加瀬大輝)
artist:kashima,kashima,鹿岛 (鹿島)
artist:katsurai yoshiaki,katsurai yoshiaki,桂井由明 (桂井よしあき)
artist:kawasaki,kawasaki,川崎 (kawasaki)
artist:kayumidome,kayumidome,止痒剂 (痒み止め)
artist:kemigawa mondo,kemigawa mondo,检见川主水 (検見川主水)
artist:kirin kakeru,kirin kakeru,麒麟翔 (麒麟翔る)
artist:kome cola,kome cola,米可乐 (コメコーラ)
artist:kono,kono,kono
artist:lollipopcon,lollipopcon,lollipopcon (棒棒糖)
artist:madbull,madbull,madbull
artist:meisuke,meisuke,明助 (めいすけ)
artist:mirei,mirei,美玲 / 未玲 (mirei)
artist:morimiya masayuki,morimiya masayuki,森宫正幸 (森宮正幸)
artist:motsuaki,motsuaki,もつあき (motsuaki)
artist:murabito toufuten,murabito toufuten,村民豆腐店
artist:nagaikusa,nagaikusa,长草 (長草)
artist:nako sir,nako sir,nako sir
artist:nanohana,nanohana,菜之花 (菜の花)
artist:natsuzo,natsuzo,夏三 (なつぞう)
artist:nijiiro guin,nijiiro guin,虹色企鹅 (虹色グイン)
artist:ninoko,ninoko,ninoko
artist:nobeji kazuwo,nobeji kazuwo,野边地和雄 (野辺地カズヲ)
artist:onigirikao,onigirikao,饭团脸 (おにぎり顔)
artist:paio,paio,paio
artist:panic america,panic america,恐慌美国 (パニックアメリカ)
artist:papipukepo,papipukepo,ぱぴぷけぽ (papipukepo)
artist:paya8,paya8,paya8
artist:puranpuman,puranpuman,肥胖人 (プランプマン)
artist:rabu,rabu,rabu
artist:rara8,rara8,rara8
artist:rororo,rororo,ろろろ (rororo)
artist:ryoma,ryoma,龙马 (龍馬)
artist:sabaziba gonpachiro,sabaziba gonpachiro,鲭司马权八郎 (鯖司馬権八郎)
artist:sage joh,sage joh,咲下城 (さげ城)
artist:sakida saki,sakida saki,先田咲 (先田サキ)
artist:sakokichi,sakokichi,砂古吉 (さこきち)
artist:shake,shake,鲑 (鮭)
artist:shake chazuke,shake chazuke,鲑鱼茶渍饭 (鮭茶漬け)
artist:shanai neet,shanai neet,社内NEET (社内ニート)
artist:shikoto tanetsuke,shikoto tanetsuke,播种仕琴 (仕琴種付け)
artist:shiniku haguki,shiniku haguki,齿肉牙龈 (歯肉歯茎)
artist:shioroku,shioroku,盐六 (しおろく)
artist:shitappa,shitappa,下杂鱼 (下っぱ)
artist:the kite,the kite,The Kite
artist:todoroki kangoku,todoroki kangoku,轰监狱 (轟監獄)
artist:tottotonero tarou.,tottotonero tarou.,快点睡太郎 (とっととねろ太郎。)
artist:try,try,try
artist:uraaka 18,uraaka 18,小号18 (裏垢18)
artist:wakura,wakura,和仓 (和倉)
artist:xipa,xipa,xipa
artist:yasashii naizou,yasashii naizou,温柔内脏 (やさしい内臓)
artist:yoko juusuke,yoko juusuke,横十助 (横十介)
artist:yucchris,yucchris,yucchris
artist:zarameccho,zarameccho,ざらめっちょ (zarameccho)
aruva,aruva,aruva
atahuta,atahuta,阿多福 (あたふた)
bakachikubi,bakachikubi,笨蛋乳头 (バカ乳首)
bbbs,bbbs,bbbs
blue gk,blue gk,blue gk
boole,boole,boole
c.r,c.r,c.r
cai pi jun,cai pi jun,菜皮菌
cgu,cgu,cgu
chae,chae,chae
cham22,cham22,cham22
chapa kari,chapa kari,恰帕咖喱 (チャパカリ)
cherachera,cherachera,チェラチェラ (cherachera)
chilt,chilt,chilt
cle masahiro,cle masahiro,暮莱正浩 (クレ正浩)
ctrlz77,ctrlz77,ctrlz77
cyberboi,cyberboi,cyberboi
dam,dam,dam
danpacino,danpacino,danpacino
deadflow,Deadflow（Б）,Deadflow
dokurosan,dokurosan,骷髅先生 (ドクロさん)
dr.p,dr.p,Dr.P
drossel,drossel,Drossel
eroi-roe,eroi-roe,eroi-roe
etuzan jakusui,etuzan jakusui,越山弱水
f.w.zholic,f.w.zholic,f.w.zholic
fukurou,fukurou,猫头鹰 (梟)
ginen,ginen,义怨 (義怨)
grimgrim,grimgrim,grimgrim
group:asuka shinozaki,asuka shinozaki,[社团] 飞鸟篠崎 (飛鳥篠崎)
group:hitsuji to kitsune,hitsuji to kitsune,[社团] 羊与狐 (羊と狐)
group:kuruto,kuruto,[社团] クルト (Kuruto)
group:nana no moe,nana no moe,[社团] 七之萌 (七の萌)
group:ryuushikei,ryuushikei,[社团] 粒子系
group:seisui bar,seisui bar,[社团] 圣水BAR (聖水BAR)
group:shirasudon,shirasudon,[社团] 吻仔鱼盖饭 (しらす丼)
group:tokumori hanten,tokumori hanten,[社团] 特盛饭店 (特盛飯店)
group:toropucchi,toropucchi,[社团] とろぷっち (Toropucchi)
group:yama danchi,yama danchi,[社团] 山团地 (山団地)
group:yumemakura,yumemakura,[社团] 梦枕 (夢枕)
group:zatsuyou elixir,zatsuyou elixir,[社团] 杂用圣水/杂用灵药 (雑用エリクサー)
gumimi,gumimi,ぐみみ (gumimi)
gx,gx,gx
gyt,gyt,gyt
hanabi,hanabi,花火
hatsuden pengin,hatsuden pengin,发电企鹅 (発電ペンギン)
hayashi cherry,hayashi cherry,林樱桃 (林チェリー)
hellap,hellap,hellap
hibacha,hibacha,火鉢 (hibacha)
hidebou,hidebou,秀坊 (ひでぼう)
hirasawa zen,hirasawa zen,平泽禅 (平沢禅)
hiro.,hiro.,hiro.
ie,ie,ie
inu,inu,犬 (inu)
jebjebbz,jebjebbz,jebjebbz
jewel,jewel,jewel
jils,jils,jils
joucho,joucho,情绪 (情緒)
k8on,k8on,k8on
kanta,kanta,宽太 (寛太)
kikunosukemaru,kikunosukemaru,菊之助丸
kim toxic,kim toxic,kim toxic
kitsune,kitsune,狐 (kitsune)
kkan,kkan,kkan
koto,koto,琴 (こと)
kotoyoshi yumisuke,kotoyoshi yumisuke,琴吉弓介
kuribayashi chris,kuribayashi chris,栗林克里斯 (栗林クリス)
kurukuru,kurukuru,咕噜咕噜 (ぐるぐる)
kuutamo,kuutamo,Kuutamo (月光)
laliberte,laliberte,laliberte
liyoosa,liyoosa,liyoosa
mankai kaika,mankai kaika,满开开花 (満開開花)
marasca no oni,marasca no oni,玛拉斯卡之鬼 (マラスカの鬼)
maruco,maruco,maruco
meccha,meccha,めっちゃ (meccha)
mie shi jian long,mie shi jian long,灭世剑龙
mikage,mikage,御景 / 三景 (ミカゲ)
mint no chicchai oana,mint no chicchai oana1,薄荷的小洞洞 (ミントのちっちゃいお穴)
miyu,miyu,美优 (ミユ)
mmchair,mmchair,mmchair
momiyama,momiyama,桃山 / 椛山 (もみやま)
moon,moon,moon
mucc,mucc,mucc
nanae,nanae,七江 / 七惠 (七恵)
negresco,negresco,negresco
neko samurai,neko samurai,猫侍
nemu,nemu,眠 (ねむ)
nemuneko,nemuneko,眠猫 (ねむ猫)
niche,niche,niche
nicoby,nicoby,nicoby
nigiri usagi,nigiri usagi,握力兔 / 握兔 (にぎりうさぎ)
niihai chikuwa,niihai chikuwa,过膝袜竹轮 (ニーハイちくわ)
nodo,nodo,のど (nodo)
nohito,nohito,能人 (のひと)
norino,norino,のりの (norino)
nusmusbim,nusmusbim,nusmusbim
nyangboob,nyangboob,nyangboob
obui,obui,Obui (おぶい)
odd,odd,odd
ojo,ojo,大小姐 (ojo)
on fan,on fan,on fan
oroboy,oroboy,oroboy
oshinobu,oshinobu,忍 (おしのぶ)
otochichi,otochichi,音父 (おとちち)
oza,oza,oza
piccione,piccione,piccione
poper,poper,poper
prime,prime,prime
qr,qr,qr
r-one,r-one,R-ONE
raidon,raidon,雷东 (雷ドン)
rapscallion,rapscallion,rapscallion
rasuni,rasuni,らすに (rasuni)
rat,rat,rat
ratatatat74,ratatatat74,ratatatat74
remu,remu,雷姆 / 莲姆 (レム)
sakagaki,sakagaki,坂垣 / 坂柿
sakai,sakai,坂井 / 酒井
sakuram,sakuram,さくらむ (sakuram)
same manma,same manma,鲨鱼饭 (鮫まんま)
sankaku noel,sankaku noel,三角诺艾尔 (三角のえる)
shamidou maichimonji,shamidou maichimonji,斜道枚文字 (斜道枚文字)
shidaidaka,shidaidaka,次第高
shiina kazuki,shiina kazuki,椎名一树 (椎名一樹)
shiva,shiva,湿婆 (Shiva)
sian,sian,sian
sigma,Σ,Σ (Sigma)
sleep-zzz,sleep-zzz,sleep-zzz
spiritus tarou,spiritus tarou,斯皮里特斯太郎 (スピリタス太郎)
ssa,ssa,ssa
superbad,superbad,superbad
tai0201,tai0201,tai0201
takeda hiromitsu,takeda hiromitsu,武田弘光
thomas,thomas,托马斯 (Thomas)
toratora,toratora,虎虎 (とらとら)
tsukunendo,tsukunendo,つくねんど (tsukunendo)
yac,yac,yac
yuu,yuu,悠 / 优 / 裕 (yuu)
z-ton,z-ton,Z-ton (ゼットん)
